pop	type	standardMKT	eMKT0.1	FWW0.1	aMKT	standardMKT	eMKT0.1	FWW0.1	aMKT
CEU	allGenes	7259,0	0,0	0,0	1984,0	-1.332 (±3.243)	0.0 (±0.0)	0.0 (±0.0)	0.981 (±2.836)
CEU	analyzable	0,0	2677,0	2677,0	0,0	0.0 (±0.0)	-0.416 (±1.635)	-0.416 (±1.635)	0.0 (±0.0)
CEU	negative	141,0	50,0	2,0	2,0	-12.785 (±11.648)	-5.578 (±2.947)	-9.4 (±2.263)	-7.964 (±0.051)
CEU	positive	26,0	38,0	10,0	0,0	0.876 (±0.092)	0.851 (±0.082)	0.889 (±0.037)	0.0 (±0.0)
RAL	analyzable	10368,0	7819,0	7819,0	18,0	-1.008 (±2.908)	-0.232 (±1.844)	-0.232 (±1.844)	0.444 (±0.376)
RAL	negative	938,0	305,0	71,0	0,0	-6.127 (±6.44)	-5.857 (±5.022)	-8.441 (±7.429)	0.0 (±0.0)
RAL	positive	736,0	1243,0	781,0	0,0	0.765 (±0.129)	0.795 (±0.116)	0.82 (±0.11)	0.0 (±0.0)
YRI	allGenes	9284,0	0,0	0,0	2399,0	-1.214 (±2.9)	0.0 (±0.0)	0.0 (±0.0)	1.09 (±3.677)
YRI	analyzable	0,0	3247,0	3247,0	0,0	0.0 (±0.0)	-0.382 (±1.573)	-0.382 (±1.573)	0.0 (±0.0)
YRI	negative	189,0	71,0	6,0	0,0	-10.824 (±8.995)	-5.388 (±4.169)	-7.486 (±3.042)	0.0 (±0.0)
YRI	positive	50,0	50,0	12,0	6,0	0.873 (±0.087)	0.823 (±0.11)	0.92 (±0.056)	0.894 (±0.26)
ZI	analyzable	12039,0	9346,0	9346,0	29,0	-0.699 (±2.714)	-0.017 (±1.539)	-0.017 (±1.539)	0.656 (±0.509)
ZI	negative	1108,0	331,0	62,0	0,0	-4.871 (±6.721)	-4.883 (±4.571)	-7.66 (±7.108)	0.0 (±0.0)
ZI	positive	1489,0	2439,0	1399,0	0,0	0.76 (±0.134)	0.785 (±0.122)	0.828 (±0.104)	0.0 (±0.0)
